"","ozone","temp"
"1",79.7,-5.3
"2",76.7,-7
"3",79.1,-9.2
"4",76,-6.6
"5",74.4,-9.1
"6",67.8,-9.8
"7",70.8,-7.2
"8",75.2,-5.9
"9",78.7,-4.8
"10",80.8,-3.4
"11",78.7,-3.2
"12",75.3,-1.6
"13",75.8,-2.2
"14",78.2,-3.8
"15",75.8,-5
"16",74.5,-3.5
"17",82.4,-3.3
"18",79.8,-1.8
"19",77.8,-1.6
"20",78.3,-2.6
"21",68.7,-5
"22",82,-7.1
"23",84.4,-3.8
"24",74.9,-5.5
"25",84.3,-5.9
"26",84.2,-6.1
"27",82.4,-6.5
"28",58.9,-7.2
"29",74.6,-6.9
"30",74.8,-3.6
"31",80.7,-5.7
"32",78.5,-6.5
"33",71.4,-1
"34",74.6,0.4
"35",80.1,-0.1
"36",84,1.4
"37",79.5,0.6
"38",71.1,-1.1
"39",50.7,-4.8
"40",79.8,-5.5
"41",81.3,-1.7
"42",69.4,-7.4
"43",71.2,-9.5
"44",65.5,-11
"45",71.8,-11.5
"46",78.3,-12.1
"47",84.7,-8
"48",63.5,-5.8
"49",80.4,-9.9
"50",85.3,-12.1
"51",82,-7.6
"52",75.6,-4.9
"53",80.4,-4.6
"54",80.6,-4.1
"55",69.8,-5.1
"56",86.6,-6.5
"57",86.3,-2.2
"58",81.1,-2.5
"59",76.1,1.6
"60",96.2,2
"61",86.9,0.1
"62",69.5,-1.4
"63",91.3,0.1
"64",80,-2.5
"65",61.2,-4.5
"66",94,-5.6
"67",96.5,-4.6
"68",90.8,-4.8
"69",90.4,-4.9
"70",83.8,-4.3
"71",95.3,-5.3
"72",85.2,-0.3
"73",99.6,2
"74",88.3,0.6
"75",98.1,-1.8
"76",98.9,1.2
"77",88.9,0
"78",88,-2.6
"79",86.4,-7
"80",93.9,-9
"81",98.5,-4.2
"82",102.9,-1.1
"83",87.9,-4.6
"84",95.3,-4.7
"85",91.6,-3
"86",100.3,1
"87",97.3,3.2
"88",86.4,-2.7
"89",86.5,-1.6
"90",101.1,2
"91",90.4,6
"92",87.1,7.8
"93",105.9,4.6
"94",107.1,4.1
"95",100.6,4.4
"96",100.2,5.3
"97",107.3,5.3
"98",116.9,5.4
"99",118.9,5.7
"100",115.5,5.7
"101",116,5.6
"102",108.9,6.2
"103",118.7,6.1
"104",126.2,6.2
"105",127.6,6.6
"106",114.2,4.9
"107",96.8,1.3
"108",97.3,2.5
"109",97.6,4.6
"110",100.7,6.1
"111",94.4,5.6
"112",113.2,5.4
"113",106.5,1.4
"114",108.8,1.4
"115",112.5,5.2
"116",111.8,6.3
"117",102.9,5.3
"118",83.8,1.4
"119",95.4,-0.6
"120",81.4,0.7
"121",103.5,4.2
"122",110.7,3.9
"123",103.3,5.5
"124",86.4,2.4
"125",97.2,1.2
"126",94.4,5.2
"127",115.9,8.9
"128",110.7,10
"129",107.7,9.9
"130",92.1,9.9
"131",91.4,10.3
"132",96.3,10.9
"133",93.8,11.5
"134",95.2,10.6
"135",98,8.9
"136",83.5,8.4
"137",84.9,11.3
"138",79.3,8
"139",92.4,9.6
"140",114.7,12.2
"141",110.3,13.8
"142",101,13.4
"143",96.3,15.6
"144",80.3,16.4
"145",85.4,17.2
"146",98.4,13.9
"147",92.7,6.1
"148",75.8,5.8
"149",107.1,6.5
"150",96.6,7
"151",108.4,5.6
"152",88.8,7.1
"153",100.2,7.9
"154",117.4,8.8
"155",104.5,7.5
"156",107.6,9.3
"157",95.6,5.5
"158",87.2,7.3
"159",82.4,7.9
"160",72.5,8.2
"161",86.8,9.3
"162",88.5,9.5
"163",97.6,8.5
"164",100.7,11.8
"165",95,15.4
"166",107.4,15.2
"167",76.3,10.7
"168",97.3,12.5
"169",88.3,15.9
"170",100,11.4
"171",87.5,6
"172",76.1,4.7
"173",84.6,3.1
"174",60.7,4.1
"175",66.6,7.5
"176",87.5,11.2
"177",88.4,11
"178",95.4,10
"179",94.4,12.4
"180",97.4,12.6
"181",77.9,12.9
"182",103.2,13.5
"183",111.9,13.6
"184",117.3,12.9
"185",95.5,14.2
"186",81.9,13.5
"187",73.7,12
"188",71,8.6
"189",68,7
"190",74.7,7.9
"191",87.3,7.2
"192",80,7.8
"193",77.6,11.1
"194",80.8,16.7
"195",103.3,17.8
"196",96.7,15.1
"197",97.4,16.7
"198",99.9,11.3
"199",63.9,3.2
"200",60.2,7.6
"201",78.2,10.9
"202",82.1,15.8
"203",90.5,16.6
"204",99.8,18.1
"205",91.2,13
"206",69.5,8.7
"207",81.8,11.4
"208",99.4,16
"209",97,12
"210",106.6,15.7
"211",102,13.2
"212",99.4,13.2
"213",120.7,17
"214",103,12.3
"215",76.6,9.2
"216",68,9.2
"217",83.5,12.2
"218",100.8,15.1
"219",102.9,15.4
"220",89.7,12.7
"221",72.6,13.3
"222",78.5,11.8
"223",83.7,12.2
"224",88.7,12.6
"225",63.2,13.2
"226",73.1,12.9
"227",80.8,15.7
"228",85.1,16.6
"229",99.5,15.8
"230",101.8,15.5
"231",109.4,17.8
"232",105.1,18.9
"233",105.2,15.3
"234",67.6,11.2
"235",68.5,12.9
"236",89.9,16.1
"237",102.7,15.3
"238",89,13.2
"239",96,14.8
"240",99.6,14.8
"241",60,8.6
"242",79,8.3
"243",82.5,14.3
"244",94.2,15.9
"245",84.6,13.5
"246",84,12.9
"247",67.9,8.7
"248",69.9,4.7
"249",67.7,6.1
"250",86.9,10.2
"251",93,11.6
"252",91.4,10.6
"253",86.8,9.5
"254",82.2,9.2
"255",72.6,8.4
"256",77,7.9
"257",68,4.2
"258",95.1,8.3
"259",92.3,11.2
"260",72.4,10.3
"261",90.7,12.2
"262",83.8,11.1
"263",78.8,9.8
"264",72.3,10.7
"265",76.3,11.1
"266",81.5,11.4
"267",81.8,11.2
"268",77.2,10.4
"269",78.5,10.1
"270",75.3,9.7
"271",81.4,9.4
"272",89.7,9.6
"273",74.2,10.3
"274",89.5,9.8
"275",80.7,7.1
"276",74.6,6.8
"277",73.9,7.7
"278",71.3,10.2
"279",66.6,12.4
"280",69.9,14.8
"281",71.2,12
"282",63,9.2
"283",66.8,6.9
"284",74.4,5.5
"285",69,1.1
"286",67.2,-1.7
"287",66.6,-3.9
"288",66.2,-6.1
"289",76.6,-3.2
"290",56.2,-2.5
"291",56.9,-3.6
"292",92.3,-4.5
"293",92.2,-0.8
"294",77.9,5.3
"295",74.1,4.6
"296",72.1,2.2
"297",68,3
"298",61.6,7.3
"299",47.2,4.4
"300",80,4.8
"301",80.9,8.9
"302",81.7,7.7
"303",85.3,5.5
"304",86.9,5.7
"305",77.4,6.7
"306",77.9,3.2
"307",69.6,-1.9
"308",67.8,-0.6
"309",68,-2.5
"310",59.4,-1.8
"311",75.8,-1.1
"312",58.5,-2
"313",30.8,-2.1
"314",35.2,-2.6
"315",70.6,-3.3
"316",78.9,-0.8
"317",60.9,3.7
"318",67.5,4.2
"319",66.1,3.3
"320",61.5,5.2
"321",58.2,6.4
"322",56.8,4.7
"323",76.7,5.6
"324",63.5,8.6
"325",68.6,7.1
"326",66.4,5.3
"327",72.2,2.9
"328",73.7,1.7
"329",66.7,4.5
"330",64.2,1.7
"331",80.1,1.3
"332",71.3,-0.3
"333",80.9,3.5
"334",64.9,-1.1
"335",53.4,-3.8
"336",76,-4.9
"337",73.5,-3.1
"338",74.3,-3.7
"339",69.4,-4.1
"340",70.6,0
"341",64.2,1.5
"342",75.8,-1.8
"343",81.6,-4.2
"344",85.1,-1.1
"345",72,-3.4
"346",20.9,-5.7
"347",47.8,-8.6
"348",63.8,-9.6
"349",71.4,-12.6
"350",69.1,-14.9
"351",62.4,-15.3
"352",71.3,-14.1
"353",50.6,-14
"354",69,-13.6
"355",71.6,-4.7
"356",75.8,1.1
"357",70.5,-0.4
"358",66,2.8
"359",72.5,-0.9
"360",81,-7.8
"361",78.3,-6.4
"362",76.1,-6
"363",73.5,-0.8
"364",70,0.6
"365",76.1,-1.5
